trial_imageFileName,Corrected Truth
1.png,1
2.png,3
3.png,0
4.png,2
5.png,1
6.png,1
7.png,1
8.png,1
9.png,1
10.png,2
11.png,2
12.png,2
13.png,2
14.png,2
15.png,2
16.png,3
17.png,1
18.png,1
19.png,4
20.png,1
21.png,1
22.png,2
23.png,2
24.png,1
25.png,0
26.png,0
27.png,1
28.png,1
29.png,2
30.png,0
31.png,2
32.png,2
33.png,0
34.png,1
35.png,0
36.png,2
37.png,1
38.png,2
39.png,2
40.png,0
41.png,2
42.png,1
43.png,0
44.png,2
45.png,2
46.png,2
47.png,3
48.png,2
49.png,2
50.png,1
