age,ai_confidence,ai_prediction,ai_shown,big5_agreeableness,big5_conscientiousness,big5_extraversion,big5_neuroticism,big5_open_mindedness,big5_timestamp,confidence,created_at,current_phase,experience_level,facet_aesthetic_sensitivity,facet_anxiety,facet_assertiveness,facet_compassion,facet_creative_imagination,facet_depression,facet_emotional_volatility,facet_energy_level,facet_intellectual_curiosity,facet_organization,facet_productiveness,facet_respectfulness,facet_responsibility,facet_sociability,facet_trust,final_confidence,final_decision,gender,ground_truth_binary,ground_truth_raw,healthcare_qualification,initial_confidence,initial_decision,iq_completed_at,iq_score,iq_time_remaining,participant_id,phase1_completed_at,phase1_video_watched,phase2_completed_at,residence,reverted_decision,school,symptom1,symptom2,treatment_group,trial_duration,trial_end_time,trial_id,trial_image,trial_image_name,trial_original_image_name,trial_start_time,user_id
17,0.3771,0,False,3.17,3.67,2.92,2.83,3.67,1770285974132,5,2026-02-05T09:59:00.270000+00:00,phase1_completed,none,3.25,3.25,3,3.25,4,3.5,1.75,3.75,3.75,3.75,4.25,3.25,3,2,3,,,male,0,0,none,,0,1770286535890,5,42,0-3L7D9,1770287124686,True,,village,,secondary,,,0,25.236,1770286698917,trial_1,9872350R.png,30.png,9872350R.png,1770286673681,0-3L7D9
17,0.7641,0,False,3.17,3.67,2.92,2.83,3.67,1770285974132,7,2026-02-05T09:59:00.270000+00:00,phase1_completed,none,3.25,3.25,3,3.25,4,3.5,1.75,3.75,3.75,3.75,4.25,3.25,3,2,3,,,male,0,0,none,,0,1770286535890,5,42,0-3L7D9,1770287124686,True,,village,,secondary,,,0,4.064,1770286787978,trial_10,9667180L.png,35.png,9667180L.png,1770286783914,0-3L7D9
17,0.9625,1,False,3.17,3.67,2.92,2.83,3.67,1770285974132,7,2026-02-05T09:59:00.270000+00:00,phase1_completed,none,3.25,3.25,3,3.25,4,3.5,1.75,3.75,3.75,3.75,4.25,3.25,3,2,3,,,male,1,3,none,,1,1770286535890,5,42,0-3L7D9,1770287124686,True,,village,,secondary,,,0,3.187,1770286791487,trial_11,9037494R.png,31.png,9037494R.png,1770286788300,0-3L7D9
17,0.4633,1,False,3.17,3.67,2.92,2.83,3.67,1770285974132,5,2026-02-05T09:59:00.270000+00:00,phase1_completed,none,3.25,3.25,3,3.25,4,3.5,1.75,3.75,3.75,3.75,4.25,3.25,3,2,3,,,male,0,0,none,,0,1770286535890,5,42,0-3L7D9,1770287124686,True,,village,,secondary,,,0,8.172,1770286799993,trial_12,9140556L.png,7.png,9140556L.png,1770286791821,0-3L7D9
17,0.0426,1,False,3.17,3.67,2.92,2.83,3.67,1770285974132,7,2026-02-05T09:59:00.270000+00:00,phase1_completed,none,3.25,3.25,3,3.25,4,3.5,1.75,3.75,3.75,3.75,4.25,3.25,3,2,3,,,male,0,0,none,,1,1770286535890,5,42,0-3L7D9,1770287124686,True,,village,,secondary,,,0,5.306,1770286805625,trial_13,9360243L.png,50.png,9360243L.png,1770286800319,0-3L7D9
17,0.0923,0,False,3.17,3.67,2.92,2.83,3.67,1770285974132,7,2026-02-05T09:59:00.270000+00:00,phase1_completed,none,3.25,3.25,3,3.25,4,3.5,1.75,3.75,3.75,3.75,4.25,3.25,3,2,3,,,male,1,3,none,,1,1770286535890,5,42,0-3L7D9,1770287124686,True,,village,,secondary,,,0,7.9,1770286813856,trial_14,9305336L.png,12.png,9305336L.png,1770286805956,0-3L7D9
17,0.8137,0,False,3.17,3.67,2.92,2.83,3.67,1770285974132,7,2026-02-05T09:59:00.270000+00:00,phase1_completed,none,3.25,3.25,3,3.25,4,3.5,1.75,3.75,3.75,3.75,4.25,3.25,3,2,3,,,male,1,3,none,,1,1770286535890,5,42,0-3L7D9,1770287124686,True,,village,,secondary,,,0,3.984,1770286818207,trial_15,9046206L.png,29.png,9046206L.png,1770286814223,0-3L7D9
17,0.5532,0,False,3.17,3.67,2.92,2.83,3.67,1770285974132,5,2026-02-05T09:59:00.270000+00:00,phase1_completed,none,3.25,3.25,3,3.25,4,3.5,1.75,3.75,3.75,3.75,4.25,3.25,3,2,3,,,male,0,0,none,,0,1770286535890,5,42,0-3L7D9,1770287124686,True,,village,,secondary,,,0,15.588,1770286834144,trial_16,9043461L.png,34.png,9043461L.png,1770286818556,0-3L7D9
17,0.8517,0,False,3.17,3.67,2.92,2.83,3.67,1770285974132,4,2026-02-05T09:59:00.270000+00:00,phase1_completed,none,3.25,3.25,3,3.25,4,3.5,1.75,3.75,3.75,3.75,4.25,3.25,3,2,3,,,male,0,0,none,,1,1770286535890,5,42,0-3L7D9,1770287124686,True,,village,,secondary,,,0,9.341,1770286843864,trial_17,9810475L.png,13.png,9810475L.png,1770286834523,0-3L7D9
17,0.584,0,False,3.17,3.67,2.92,2.83,3.67,1770285974132,6,2026-02-05T09:59:00.270000+00:00,phase1_completed,none,3.25,3.25,3,3.25,4,3.5,1.75,3.75,3.75,3.75,4.25,3.25,3,2,3,,,male,0,0,none,,0,1770286535890,5,42,0-3L7D9,1770287124686,True,,village,,secondary,,,0,34.866,1770286879069,trial_18,9598675R.png,27.png,9598675R.png,1770286844203,0-3L7D9
